1,2,3,4,5,6,7,8,results
Yes,Probably yes,Probably yes,Yes,Probably No,No,Probably yes,Probably yes,severe
No,No,No,No,Probably No,Yes,No,No,normal
Yes,No,Yes,Yes,Probably No,Yes,Probably No,Probably No,severe
Yes,No,Probably yes,Yes,Probably yes,Probably yes,No,No,mild
Probably yes,No,Probably yes,Probably yes,No,No,Probably yes,No,normal
Probably yes,Probably yes,Probably yes,Probably yes,Yes,No,Probably No,No,mild
Probably yes,No,Probably yes,Probably yes,Probably No,No,Probably yes,Probably yes,mild
Probably yes,Yes,Probably No,Probably yes,Probably No,No,Probably No,No,mild
Yes,No,Probably No,Yes,Probably No,Probably yes,Probably yes,Yes,severe
Yes,Probably yes,Probably No,Yes,Probably No,No,Probably No,No,mild
Yes,Yes,Probably No,Yes,Probably No,Yes,Yes,Probably No,severe
Yes,No,Probably No,Yes,Probably No,No,No,No,normal
Probably No,No,Probably yes,Probably No,Probably No,Probably yes,No,Probably yes,normal
Probably No,Yes,No,Probably No,Probably yes,Yes,No,No,mild
Probably No,Probably yes,Yes,Probably No,Probably No,No,No,Yes,mild
Probably No,Probably yes,Probably No,Probably No,No,No,No,No,normal
Probably No,Probably yes,Probably No,Probably No,Probably No,Yes,No,Probably No,mild
Probably No,Probably yes,Probably No,Probably No,No,Probably yes,No,No,normal
Probably No,Probably No,Probably No,Probably No,Probably No,Probably yes,No,No,normal
Probably yes,No,Probably No,Probably yes,Probably No,Probably yes,No,Probably No,normal
Probably yes,Yes,Probably No,Probably yes,Probably No,Probably yes,Probably No,No,mild
Probably No,No,Probably No,Probably No,Probably No,Probably No,Probably No,No,normal
Probably No,No,Probably yes,Probably No,Probably No,No,Probably yes,Yes,mild
Probably No,No,Probably No,Probably No,Probably No,Yes,Yes,Probably No,mild
Probably No,No,No,Probably No,Probably No,No,No,No,normal
Probably No,No,Probably No,Probably No,Probably No,No,No,Probably No,normal
Probably yes,No,No,Probably yes,Probably No,No,No,No,normal
Probably yes,Probably yes,Probably No,Probably yes,No,Probably No,No,Probably No,normal
Yes,No,Probably No,Yes,No,Probably No,No,No,normal
Yes,Yes,Probably No,Yes,No,Yes,Probably No,No,mild
No,No,Probably No,No,No,No,Probably No,No,normal
No,Probably yes,Probably No,No,No,No,No,No,normal
No,Yes,Probably No,No,No,No,No,No,normal
No,No,Probably No,No,No,Probably No,No,Probably No,normal
No,No,Probably No,No,Probably yes,No,No,Probably No,normal
No,Yes,Probably No,No,No,No,No,Probably No,normal
No,Probably yes,No,No,Probably No,Probably No,No,Probably No,normal
Probably yes,Probably yes,No,Probably yes,No,No,No,Probably yes,normal
No,Probably yes,No,No,Probably yes,No,No,No,normal
No,Probably yes,No,No,Probably No,Probably No,No,No,normal
Probably yes,Probably No,No,Probably yes,Probably yes,No,Probably yes,Yes,mild
No,No,No,No,Probably No,No,No,No,normal
Yes,Yes,No,Yes,Probably yes,Probably yes,Yes,Probably No,severe
No,No,Probably yes,No,Probably No,No,No,No,normal
Yes,No,No,Yes,Yes,Yes,Yes,Probably No,severe
No,No,Probably No,No,No,No,No,No,normal
No,Yes,No,No,No,Probably yes,Yes,Probably No,normal
No,Yes,Probably yes,No,No,Yes,No,No,normal
Yes,Probably yes,Probably No,Yes,No,No,Yes,Probably No,mild
No,No,Probably yes,No,No,No,Probably yes,Probably No,normal
Probably yes,No,Probably No,Probably yes,No,Yes,No,Probably No,normal
Yes,No,Probably yes,Yes,No,Probably yes,Probably No,Probably No,mild
No,No,Probably No,No,No,Probably yes,Probably No,Probably No,normal
Probably No,Probably yes,Yes,Probably No,No,Probably yes,Probably No,Probably No,mild
No,No,No,No,Probably No,Probably yes,Probably No,Probably No,normal
Probably yes,Yes,No,Probably yes,Probably No,Probably No,Probably yes,Probably No,mild
Yes,No,No,Yes,Probably yes,No,Probably No,Probably No,mild
No,No,No,No,Yes,Yes,Probably yes,No,normal
Yes,No,No,Yes,No,No,Probably No,No,normal
Yes,Probably yes,No,Yes,No,No,Probably yes,No,mild
Probably yes,No,No,Probably yes,No,No,Probably No,No,normal
No,Yes,No,No,No,Yes,Probably No,No,normal
Yes,No,No,Yes,No,Yes,Probably yes,No,mild
Probably yes,Probably yes,Probably No,Probably yes,Probably No,Probably yes,Probably yes,No,mild
Probably yes,Yes,Probably No,Probably yes,Probably No,No,Probably No,Probably yes,mild
Probably yes,No,Probably yes,Probably yes,No,No,No,No,normal
Probably yes,No,Yes,Probably yes,No,No,Probably No,Probably No,normal
Probably No,Yes,No,Probably No,No,Probably No,No,No,normal
Probably No,Probably yes,No,Probably No,No,Probably No,Yes,Probably yes,mild
Probably No,Probably yes,No,Probably No,No,Yes,No,Probably No,normal
Probably No,Probably yes,No,Probably No,No,Yes,Probably No,Probably yes,mild
Probably No,Probably yes,No,Probably No,No,Probably yes,Probably yes,Probably No,normal
Probably yes,Probably No,Probably No,Probably yes,No,Probably yes,No,Probably yes,mild
No,No,Probably No,No,No,Probably yes,No,Probably No,normal
Yes,Yes,No,Yes,Probably yes,No,Probably yes,Yes,severe
Probably No,No,No,Probably No,No,No,Yes,No,normal
Probably No,No,No,Probably No,Yes,No,Probably yes,No,normal
Probably No,No,No,Probably No,No,No,Probably No,No,normal
Probably No,Yes,No,Probably No,Yes,No,No,No,normal
Probably No,Yes,No,Probably No,No,No,Probably No,No,normal
Probably No,Probably yes,No,Probably No,Yes,No,No,No,normal
Probably No,No,No,Probably No,No,Probably No,Probably No,No,normal
Probably yes,No,No,Probably yes,Yes,Probably No,No,No,normal
Probably No,No,Probably yes,Probably No,Probably yes,Probably No,Probably No,No,normal
No,No,No,No,No,Probably No,No,Probably No,normal
Probably No,Probably yes,Yes,Probably No,Probably No,Probably No,No,Probably No,mild
No,No,No,No,Probably No,Probably No,No,Probably yes,normal
Probably No,Yes,Yes,Probably No,Probably No,Probably yes,No,Yes,mild
Probably No,No,No,Probably No,Probably No,Probably yes,No,No,normal
Probably No,Probably yes,Yes,Probably No,Probably yes,Probably yes,No,No,mild
Probably No,Yes,No,Probably No,Probably No,Yes,No,No,normal
Probably No,No,Yes,Probably No,Probably yes,Yes,No,No,mild
Probably No,No,Probably yes,Probably No,Probably No,Yes,No,No,normal
Probably No,Yes,No,Probably No,Probably yes,No,Probably yes,Probably No,mild
Probably No,Probably yes,Probably No,Probably No,Probably No,No,No,Probably No,normal
Probably No,Probably yes,Probably No,Probably No,Probably No,No,Probably yes,No,normal
No,Probably yes,Probably No,No,Probably yes,No,No,No,normal
No,Probably yes,Probably No,No,Probably yes,No,Probably yes,No,normal
No,Probably No,Probably yes,No,Probably No,Probably No,No,No,normal
No,No,Probably No,No,No,Probably No,No,No,normal
No,Yes,Probably yes,No,Probably No,Probably No,Probably yes,No,normal
No,No,Probably No,No,No,Probably No,Probably yes,No,normal
No,No,Probably yes,No,Yes,No,Probably yes,No,normal
Probably yes,No,Probably No,Probably yes,No,No,Probably yes,No,normal
No,Probably yes,Probably No,No,Probably No,No,Probably yes,Probably yes,normal
Probably No,Probably yes,Probably yes,Probably No,Probably yes,No,Probably yes,No,mild
No,Probably yes,Probably yes,No,No,No,Probably yes,Yes,normal
Probably yes,Probably yes,Probably No,Probably yes,No,Yes,Probably No,No,mild
Probably No,Probably yes,No,Probably No,Probably yes,Probably No,Probably No,Yes,mild
Probably yes,Probably yes,Probably No,Probably yes,Yes,Probably No,No,No,mild
Probably No,Probably No,No,Probably No,Probably yes,Yes,Yes,Yes,mild
Probably yes,Probably No,Yes,Probably yes,Probably No,No,Probably yes,No,mild
Probably No,No,No,Probably No,No,No,No,Yes,normal
Yes,Yes,Probably No,Yes,Probably No,No,Probably yes,Probably yes,severe
No,Probably yes,Probably yes,No,No,Probably No,No,No,normal
No,No,No,No,Probably No,No,Probably yes,Probably No,normal
No,Probably yes,No,No,No,No,No,Probably No,normal
No,No,Probably yes,No,Probably No,Probably No,Probably yes,Probably No,normal
No,Probably yes,Yes,No,No,No,No,Probably No,normal
No,No,Probably yes,No,No,No,Probably No,Probably yes,normal
No,Probably yes,Probably No,No,No,Probably No,No,Probably No,normal
No,No,No,No,No,No,Probably No,Probably yes,normal
No,Probably No,Probably No,No,No,No,No,Probably No,normal
Probably No,No,No,Probably No,No,Probably yes,Probably yes,Probably yes,normal
Probably No,Probably No,Probably No,Probably No,No,No,No,Probably No,normal
Probably yes,No,No,Probably yes,No,Yes,Probably No,Probably No,normal
Yes,Probably yes,Probably No,Yes,No,No,No,Probably yes,mild
No,No,No,No,Probably yes,Probably yes,Probably yes,Probably yes,normal
No,Probably No,No,No,No,Yes,No,Probably No,normal
No,Yes,Yes,Yes,Probably yes,Yes,Yes,Yes,extreme
No,Probably yes,No,No,No,No,No,Probably No,normal
No,No,No,No,Probably yes,Yes,Probably yes,No,normal
Probably No,Probably No,No,Probably No,No,Probably yes,No,Yes,normal
Probably No,No,No,Probably No,No,Probably yes,Probably No,No,normal
No,Probably yes,No,No,Probably yes,Probably yes,No,Probably No,normal
No,No,No,No,Probably yes,Probably yes,Probably No,Probably yes,normal
No,Probably No,Probably yes,No,Probably yes,Probably No,No,No,normal
No,No,No,No,Probably yes,No,Probably No,No,normal
No,Probably No,Probably yes,No,Probably yes,Yes,No,Probably yes,mild
No,No,No,No,Probably yes,No,No,Yes,normal
No,Probably No,Probably yes,No,Probably yes,No,No,Probably yes,normal
No,No,No,No,Probably No,No,No,Probably No,normal
No,No,No,No,Probably No,Yes,Probably yes,No,normal
Probably yes,No,Probably yes,Probably yes,No,Yes,No,Probably No,mild
No,No,Probably yes,No,Yes,Probably yes,No,No,normal
Yes,No,Probably yes,Yes,Probably yes,No,No,Probably No,mild
No,No,Probably yes,No,No,No,Probably No,No,normal
Yes,No,Probably yes,Yes,Probably yes,No,No,Probably No,mild
No,No,Probably yes,No,No,Probably No,No,No,normal
Yes,No,Probably yes,Yes,Probably yes,Probably No,No,No,mild
No,No,Probably No,No,No,Yes,Probably yes,No,normal
Yes,No,Probably No,Yes,Probably yes,Yes,No,No,mild
Probably yes,No,No,Probably yes,No,Probably yes,Probably No,No,normal
No,Probably No,Yes,No,Probably No,Probably yes,Probably No,No,normal
Probably No,No,Probably yes,Probably No,No,Probably yes,Probably No,No,normal
Probably No,Probably No,No,Probably No,Probably No,No,Probably No,No,normal
Probably No,Probably No,Probably yes,Probably No,No,No,Probably No,No,normal
Probably No,Probably No,No,Probably No,Probably yes,No,Probably No,Probably yes,normal
Probably yes,Probably No,Probably yes,Probably yes,No,No,Probably No,No,normal
Probably No,Probably No,No,Probably No,Probably No,No,Probably yes,Probably yes,normal
Probably yes,Probably No,Probably yes,Probably yes,No,No,Probably yes,No,normal
Probably No,Probably No,No,Probably No,Probably yes,No,Probably No,Probably yes,normal
Probably yes,Probably yes,Probably No,Probably yes,No,Probably No,Probably yes,No,mild
Probably No,Probably yes,No,Probably No,Probably No,Probably No,Probably No,No,normal
Probably No,Probably No,Probably No,Probably No,No,Probably No,Probably yes,Probably yes,normal
Probably yes,Probably yes,No,Probably yes,Probably yes,Probably No,Probably No,Probably yes,mild
Probably yes,Yes,Probably yes,Yes,Yes,Yes,Yes,Probably yes,extreme
Probably No,Probably yes,No,Probably No,Probably No,Probably No,Probably yes,Probably yes,mild
No,Probably No,Probably No,No,No,Probably yes,Probably No,Probably yes,normal
Probably No,Probably No,No,Probably No,Probably No,Probably yes,Probably yes,Probably yes,mild
No,Probably yes,Probably yes,No,No,Probably yes,Probably No,Probably yes,normal
Yes,Probably No,No,Yes,Probably No,Yes,Probably yes,Probably No,mild
No,Probably yes,Probably No,No,No,Yes,Probably No,Probably No,normal
Probably No,Probably No,No,Probably No,No,Yes,Probably No,No,normal
Probably yes,Probably yes,Probably yes,Probably yes,No,No,Probably No,Yes,mild
No,Probably No,No,No,No,No,Probably yes,Probably yes,normal
No,Probably No,Probably No,No,No,No,Probably yes,No,normal
Probably yes,Probably No,No,Probably yes,No,No,Probably No,Probably yes,normal
Yes,Probably yes,Probably No,Yes,No,No,Probably yes,No,mild
Probably yes,Probably yes,No,Probably yes,No,Probably No,Probably No,Probably yes,mild
Probably No,Probably No,Probably No,Probably No,No,Probably No,Probably No,No,normal
No,Probably yes,No,No,No,Probably No,Probably No,Probably yes,normal
Probably No,Probably No,No,Probably No,No,Probably No,No,No,normal
No,Probably No,No,No,No,No,No,Probably No,normal
Probably No,Probably No,No,Probably No,Probably No,No,No,No,normal
No,No,No,No,No,No,No,Probably No,normal
Probably No,No,No,Probably No,Probably No,No,No,No,normal
No,No,No,No,Probably No,No,No,Probably yes,normal
No,No,No,No,Probably No,Yes,No,No,normal
No,No,No,No,Probably No,Probably No,No,Probably No,normal
No,No,No,No,Probably No,Probably No,Probably No,No,normal
No,No,No,No,Probably No,Yes,Probably No,Probably yes,normal
No,No,No,No,Probably No,No,Probably No,No,normal
No,Probably No,Probably No,No,Probably yes,No,Probably No,Probably No,normal
No,Probably No,No,No,Probably yes,No,Probably No,No,normal
No,Probably No,Probably No,No,Probably No,Probably No,Probably No,Probably yes,normal
Probably yes,Probably No,Probably No,Probably yes,Probably yes,No,Probably yes,No,mild
No,Probably No,Probably No,No,Probably No,No,Probably yes,Probably No,normal
Probably yes,Probably No,Probably No,Probably yes,Probably yes,Probably No,Yes,No,mild
No,Probably yes,Probably No,No,Probably No,No,No,Probably No,normal
Probably yes,Probably yes,Probably No,Probably yes,Probably No,No,Probably No,No,normal
No,Yes,Probably No,No,Probably yes,Probably No,No,Probably No,normal
No,No,Probably yes,No,Probably No,No,Yes,No,normal
Probably yes,Probably No,Probably yes,Probably yes,Probably yes,No,No,No,normal
Probably yes,No,Probably No,Probably yes,Probably No,Probably yes,Yes,No,mild
Probably yes,Yes,Probably yes,Probably yes,Probably yes,No,No,No,mild
Probably yes,No,Probably No,Probably yes,Probably No,Yes,Probably yes,No,mild
Probably yes,Yes,Probably yes,Probably yes,Probably No,No,Probably No,Probably yes,mild
Probably yes,No,Probably No,Probably yes,Probably No,Probably yes,No,No,normal
Probably yes,Probably yes,Probably No,Probably yes,Probably yes,Yes,Yes,No,severe
Probably No,Probably No,Probably yes,Probably No,Probably yes,No,No,No,normal
Probably No,No,Probably No,Probably No,Probably No,No,Probably yes,No,normal
No,Yes,Probably yes,No,Probably yes,Yes,No,No,mild
Yes,No,Probably No,Yes,Probably No,Probably yes,Probably No,No,mild
Probably yes,Probably yes,Probably yes,Probably yes,Probably No,Probably yes,Probably No,Yes,severe
No,No,Probably No,No,Probably No,Probably yes,Probably No,No,normal
Probably yes,Probably No,Probably No,Probably yes,No,Probably yes,Probably yes,Probably No,mild
No,Probably No,Probably No,No,No,Probably No,Probably yes,Probably No,normal
Probably yes,Probably No,Probably yes,Probably yes,No,No,Probably yes,Probably No,mild
No,Probably yes,Probably yes,No,No,Yes,Probably yes,Probably No,mild
Probably yes,Probably yes,Probably No,Probably yes,No,No,Yes,Probably No,mild
No,Probably yes,Probably yes,No,No,No,No,Probably No,normal
Probably No,Probably yes,Probably No,Probably No,No,No,No,Probably No,normal
No,Yes,Probably No,No,No,Yes,No,Probably yes,normal
Probably No,No,Probably No,Probably No,Probably No,Yes,No,Probably yes,normal
No,No,No,No,Probably No,Probably yes,No,Probably No,normal
Probably yes,No,No,Probably yes,Probably No,No,No,Probably yes,normal
No,No,No,No,Probably No,No,No,Probably No,normal
Probably No,No,No,Probably No,Probably No,No,Yes,Probably yes,normal
No,No,No,No,Probably No,Probably No,Yes,Probably No,normal
Probably yes,No,No,Probably yes,Probably yes,Probably No,Probably yes,Probably No,mild
No,Yes,No,No,Probably yes,Yes,Probably yes,Probably yes,mild
Probably No,Yes,No,Probably No,Yes,Yes,No,Probably No,mild
No,Probably yes,Probably No,No,No,Probably yes,Probably No,Probably yes,normal
Probably yes,Probably yes,Probably No,Probably yes,Probably No,Probably yes,Probably No,Probably No,mild
No,No,Probably No,No,No,Probably yes,Probably yes,Probably yes,normal
Probably No,Probably No,Probably No,Probably No,Yes,No,Probably yes,Probably No,mild
No,Probably No,Probably No,No,No,No,Probably yes,Probably No,normal
Probably No,Probably yes,Probably No,Probably No,Yes,No,Probably yes,Probably No,mild
No,Probably yes,Probably yes,No,No,No,Probably yes,Probably yes,normal
Yes,Yes,Yes,Probably yes,Probably yes,Yes,Probably yes,Probably yes,extreme
No,Probably yes,Yes,No,Probably No,No,Probably No,Probably No,normal
No,Probably yes,No,No,No,No,Probably No,Probably yes,normal
No,Probably No,Probably No,No,Yes,Probably No,Probably No,Probably No,normal
No,Probably No,No,No,No,Probably No,Probably No,Probably No,normal
No,Probably No,Yes,No,Probably yes,Probably No,Probably No,Probably No,normal
No,Probably No,No,No,No,Probably No,Yes,No,normal
No,Probably No,Yes,No,Probably No,Probably No,Yes,No,normal
No,Probably No,No,No,Probably No,Probably No,Yes,No,normal
No,Yes,Probably yes,No,Probably No,Probably yes,Yes,No,mild
No,Yes,Probably No,No,Probably yes,Probably yes,Probably yes,No,mild
No,Yes,No,No,Probably yes,Probably yes,Probably yes,No,normal
No,Yes,Yes,No,Probably yes,Yes,Probably No,No,mild
Probably yes,Probably yes,No,Probably No,Probably yes,Yes,Probably No,No,mild
No,Probably yes,Probably yes,No,Yes,Yes,Yes,Probably No,mild
Probably No,Probably No,No,Probably No,No,No,No,Probably No,normal
Probably No,Probably No,Probably No,Probably No,No,No,No,Probably No,normal
Probably No,Probably No,Probably No,Probably No,No,No,No,Probably No,normal
Probably No,No,Probably No,Probably No,No,No,Probably yes,Probably No,normal
Probably No,No,Probably yes,Probably No,No,No,Probably yes,Probably No,normal
Probably No,No,Probably yes,Probably No,No,Probably No,Probably yes,Probably yes,normal
Probably No,Probably yes,Probably yes,Probably No,No,Probably No,Probably yes,Probably yes,mild
Probably yes,Probably yes,Probably yes,Probably yes,Yes,Probably No,Yes,Yes,severe
Probably yes,Probably yes,Yes,Probably yes,Yes,Probably No,Yes,No,severe
Probably No,Probably yes,No,Probably No,Probably yes,No,Probably yes,Probably No,normal
Probably yes,Yes,No,Probably yes,Probably yes,No,No,No,normal
Probably No,Yes,No,Probably No,No,No,Probably yes,Yes,mild
Probably yes,Probably yes,No,Probably yes,Probably No,No,Yes,No,mild
Probably No,No,No,Probably No,Probably No,No,Probably No,Yes,normal
Probably No,Probably yes,No,Probably No,Probably yes,Yes,No,No,normal
Probably yes,Yes,No,Probably yes,Probably yes,Probably No,No,Probably yes,mild
Probably No,Probably No,Yes,Probably No,Probably yes,Probably No,Probably yes,Probably No,mild
Probably yes,No,Yes,Probably yes,Probably yes,Yes,Yes,No,severe
Probably No,No,Probably yes,Probably No,Probably yes,No,No,Yes,normal
Probably yes,Probably yes,Probably yes,Probably yes,Probably No,No,No,No,normal
Probably No,Yes,No,Probably No,Probably No,No,No,Probably yes,normal
Probably No,No,Probably No,Probably No,Probably No,Probably No,No,No,normal
Probably No,No,Probably No,Probably No,Probably No,No,No,Probably No,normal
Probably yes,No,Probably yes,Probably yes,Probably No,No,No,Probably No,normal
Probably yes,No,Probably yes,Probably yes,Probably No,Probably No,Probably yes,Probably No,mild
Probably No,No,Probably yes,Probably No,Yes,No,Probably yes,Probably yes,mild
Probably yes,No,Probably yes,Probably yes,Yes,No,Probably yes,Probably yes,mild
Probably No,Probably yes,Probably yes,Probably No,Yes,Probably No,Probably No,Probably yes,mild
Probably No,Probably yes,Probably No,Probably No,Yes,No,Probably No,Probably yes,mild
Probably No,Probably yes,Probably No,Probably No,Probably yes,No,Probably No,Yes,mild
No,Probably yes,Probably No,No,Probably yes,Probably yes,Yes,No,mild
No,Probably yes,Probably No,No,Probably No,No,No,No,normal
No,Probably yes,Probably No,No,Probably No,Yes,No,No,normal
No,Probably yes,Probably No,No,No,No,No,No,normal
No,Probably yes,Yes,No,No,Probably yes,Probably No,No,normal
No,Probably yes,Yes,No,No,Yes,No,No,normal
No,Probably No,Yes,No,No,No,No,No,normal
No,Probably No,Yes,No,Probably yes,No,Probably No,Yes,mild
Probably No,No,Probably yes,Probably No,Probably yes,Yes,No,Yes,mild
Probably No,Yes,Probably yes,Probably No,Probably yes,Probably yes,No,Probably yes,mild
Probably No,Probably yes,Probably No,Probably No,Probably yes,Probably yes,Probably No,Probably yes,mild
Probably No,No,Probably No,Probably No,Yes,Probably yes,No,No,normal
Probably No,Probably yes,No,Probably No,Yes,Probably yes,No,Probably No,mild
Probably No,No,No,Probably No,Probably yes,Probably No,Probably yes,Probably No,normal
Probably yes,Probably yes,No,Probably yes,No,No,No,Probably yes,normal
Probably yes,No,No,Probably yes,Probably yes,Yes,Yes,Probably yes,mild
Yes,Probably yes,Probably yes,Yes,Yes,No,No,Probably yes,severe
No,No,Probably yes,No,Probably No,No,Probably yes,Probably yes,normal
Probably No,Probably No,Probably yes,Probably No,No,No,Yes,Probably yes,mild
No,No,Probably yes,No,No,Yes,No,Probably No,normal
Yes,Probably No,Yes,Yes,Probably yes,Yes,No,Probably No,severe
No,No,Yes,No,Yes,Probably yes,Yes,Probably No,mild
Yes,Probably yes,Probably yes,Yes,No,No,Probably yes,Probably No,mild
No,No,No,No,No,No,Probably yes,Probably No,normal
Probably yes,Probably No,Probably yes,Probably yes,No,No,Probably yes,Probably No,mild
Probably No,No,Yes,Probably No,No,Probably No,Probably yes,Yes,mild
No,Probably yes,Probably No,No,No,Probably No,Probably No,Yes,normal
Yes,No,No,Yes,No,Yes,No,Yes,mild
No,Probably No,No,No,Probably yes,Yes,Yes,Yes,mild
Probably yes,No,Probably yes,Probably yes,Probably yes,Probably yes,No,Probably yes,mild
No,Probably yes,Yes,No,Probably yes,Probably yes,No,Probably yes,mild
Probably No,No,No,Probably No,Probably No,Probably yes,No,Probably No,normal
Probably No,Probably No,No,Probably No,Probably No,No,Yes,Probably No,normal
Probably No,No,No,Probably No,Probably No,No,Yes,Probably No,normal
Probably yes,Probably No,No,Probably yes,Yes,No,Probably yes,No,mild
Probably yes,No,No,Probably yes,No,No,No,No,normal
Probably yes,Probably No,No,Probably yes,No,No,No,No,normal
Probably yes,No,Probably yes,Probably yes,No,No,No,Probably yes,normal
Yes,No,Probably yes,Yes,Probably No,No,Probably No,Probably yes,mild
No,No,Probably yes,No,No,Probably No,Probably No,Probably yes,normal
No,No,Probably No,No,No,Probably No,Yes,Probably yes,normal
No,No,Probably No,No,Probably No,Probably No,Yes,Yes,normal
No,No,Probably No,No,No,Probably No,Probably yes,Yes,normal
No,No,Yes,No,No,Probably No,Probably yes,Probably yes,normal
No,No,No,No,Probably No,Probably No,Probably yes,No,normal
No,No,No,No,No,Probably yes,No,Probably yes,normal
Yes,No,No,Yes,No,Probably yes,No,Yes,mild
Yes,No,Probably No,Yes,Probably yes,Probably yes,No,Probably No,mild
Probably yes,No,No,Probably yes,No,Yes,No,No,normal
Probably yes,Yes,No,Probably yes,Yes,Yes,No,No,mild
No,No,Probably No,No,No,Yes,No,Probably yes,normal
Probably No,Probably No,No,Probably No,Probably yes,No,No,Yes,normal
Probably No,Probably No,No,Probably No,Yes,No,Probably No,No,normal
Probably yes,Probably No,Probably No,Probably yes,No,No,Probably No,No,normal
Probably yes,Probably No,No,Probably yes,No,No,Probably No,No,normal
Probably yes,Probably No,No,Probably yes,Yes,No,Probably No,No,normal
Probably yes,Probably No,Probably yes,Probably yes,Probably yes,Probably No,Probably No,No,mild
Probably yes,Probably No,No,Probably yes,Probably yes,Probably No,Probably No,No,normal
Probably No,Probably yes,Yes,Probably No,Probably yes,Probably No,Probably No,Probably yes,mild
Probably No,Probably yes,No,Probably No,Probably yes,Probably No,Probably No,Probably yes,mild
Probably No,Probably No,Probably yes,Probably No,Probably No,No,Probably No,Probably yes,normal
Probably No,Probably yes,Yes,Probably No,No,No,Probably No,Probably No,normal
Probably No,Probably No,No,Probably No,Yes,No,Probably No,Probably No,normal
Probably No,Probably yes,No,Probably No,No,No,Probably No,Probably No,normal
Yes,Probably No,Yes,Yes,No,No,Probably No,Yes,mild
Yes,Probably No,Probably yes,Yes,No,Yes,No,No,mild
Yes,Probably yes,Probably yes,Yes,Yes,Probably No,No,No,mild
Yes,Probably No,Probably yes,Yes,Yes,Probably No,Probably yes,No,severe
Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably No,severe
Probably yes,Probably No,Probably No,Probably yes,No,Probably yes,Yes,No,mild
Probably No,Probably yes,No,Probably No,No,Probably yes,Yes,No,normal
Probably No,Probably No,Yes,Probably No,No,Probably yes,Yes,Probably No,mild
Probably No,Probably No,No,Probably yes,No,Yes,Probably No,No,normal
No,Probably No,No,No,Probably yes,No,No,No,normal
No,Probably yes,No,No,No,No,No,Probably No,normal
No,Probably yes,Yes,No,Yes,No,No,No,normal
Probably yes,Probably No,Yes,Probably yes,No,No,No,No,normal
Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,No,No,Probably yes,mild
Probably yes,Probably No,No,Probably yes,Yes,No,No,No,normal
Probably yes,Probably No,No,Probably yes,No,No,No,Yes,normal
Yes,Probably No,No,Yes,No,Yes,No,No,mild
Yes,No,No,Yes,Yes,Yes,No,Probably yes,mild
Probably yes,No,Probably yes,Probably yes,Probably yes,Probably yes,Probably No,Yes,mild
No,No,No,No,Probably yes,Probably yes,Probably No,No,normal
Probably yes,No,Yes,Probably yes,Probably yes,No,Probably No,No,mild
Yes,No,No,Yes,Probably yes,Probably No,Probably No,Yes,mild
Probably No,No,Probably yes,Probably No,Probably No,Probably No,Probably No,Probably yes,normal
No,No,Yes,No,No,Probably yes,Probably yes,Probably yes,normal
No,No,No,No,Yes,Probably yes,Probably yes,Probably yes,normal
